Price,Adj Close,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,SPXU,SPXU,SPXU,SPXU,SPXU,SPXU,,,,,,
Date,,,,,,,,,,,,
2020-02-14,384.1575622558594,433.0,438.5,432.25,433.25,291772,3.264026288081259,4.198509019254296,-115.95374061703129,-96.96969696969697,36.67459774749165,-13.443278360819589
2020-02-18,387.04095458984375,436.25,442.25,434.5,437.25,288704,5.274971941638596,4.700872059698299,-93.18630454019443,-92.59259259259258,43.22141437321086,-10.92394078611536
2020-02-19,381.2741394042969,429.75,433.5,427.25,432.25,188472,4.551048173770562,4.363348801163471,-109.08976358109264,-96.78456591639872,44.12930426646353,-8.02568218298555
2020-02-20,386.37554931640625,435.5,448.0,429.0,432.5,477420,7.077924655630967,5.634648257013374,-73.85090421266432,-89.38906752411576,40.66726156077979,-3.436807095343686
2020-02-21,398.352783203125,449.0,452.5,440.25,441.5,418720,15.511044492259574,9.0466724405537,-35.81462751012933,-67.29323308270676,35.79921011002485,0.4474272930648837
2020-02-24,438.0549011230469,493.75,498.75,480.25,490.25,930572,45.44156413339015,22.676844427093567,106.95716761574631,-6.993006993006993,52.257349157716604,8.81542699724518
2020-02-25,477.7571105957031,538.5,543.5,484.0,486.75,1111460,73.80422821848965,44.91894561471313,187.8709807784595,-4.301075268817204,67.82962153023644,21.352112676056343
2020-02-26,482.8584899902344,544.25,549.0,510.75,531.0,977380,94.9348267888375,71.39353971357245,189.7882446071639,-3.9014373716632442,78.38008311563541,23.272933182332967
2020-02-27,548.733154296875,618.5,619.0,555.25,577.25,1371008,97.1789103888533,88.63932179872683,263.3289460793706,-0.2607561929595828,85.68263790124315,42.75822273514138
2020-02-28,557.6051635742188,628.5,694.25,625.25,674.25,1538248,90.40411275686104,94.17261664485062,263.19126497866887,-24.625468164794007,88.38461390832943,44.56584243818287
2020-03-02,482.8584899902344,544.25,638.5,544.25,614.25,1236068,72.97800012044917,86.85367442205451,128.66294512862007,-56.17977528089888,77.9519525228297,25.69284064665127
2020-03-03,525.00048828125,591.75,606.0,519.5,542.25,1062204,60.268414481897615,74.55017578640262,106.50464435028877,-38.38951310861423,71.0026306919519,35.64469914040114
2020-03-04,458.0169677734375,516.25,573.0,516.25,557.0,1059784,46.25468164794006,59.83369875009563,54.442581315760926,-66.66666666666667,65.72915203837893,20.127981384525896
2020-03-05,504.3731689453125,568.5,581.0,539.0,557.25,880376,49.28214731585516,51.93508114856429,76.74959376926087,-47.09737827715356,67.72710291887994,30.539609644087264
2020-03-06,528.7711791992188,596.0,638.25,590.0,622.0,1267460,49.81273408239699,48.449854348730746,110.72065056398638,-36.79775280898877,72.41730766514058,32.73942093541202
2020-03-09,654.3099975585938,737.5,742.5,677.75,725.0,974148,71.50627536356714,56.86705225393977,188.40177366493148,-1.5860428231562254,74.47226078130159,49.36708860759494
2020-03-10,554.943603515625,625.5,744.75,625.0,656.0,973392,74.61632782174739,65.31177908923718,122.34359483614703,-37.76722090261283,69.37555970172893,16.15598885793872
2020-03-11,635.4569702148438,716.25,739.25,667.25,675.25,833212,83.76237678763363,76.6283266576494,139.9329745664901,-9.35960591133005,70.72250628832519,31.60312356453836
2020-03-12,820.4381713867188,924.75,926.0,777.0,875.0,1325172,84.1975823127201,80.85876230736704,228.94297086257703,-0.28042624789680315,73.68237545127897,49.51495553759096
2020-03-13,596.86376953125,672.75,908.25,670.25,757.25,1268360,77.68786258342513,81.88260722792629,120.99584916895807,-57.29638009049774,65.5676472692083,7.040572792362765
2020-03-16,791.8258666992188,892.5,925.0,770.0,896.25,1097620,78.11858813404108,80.00134434339543,167.979337393578,-8.06742925948224,66.77063618509878,63.9871382636656
2020-03-17,670.0576782226562,755.25,924.5,710.75,836.25,1069176,64.32147986076527,73.37597685941049,109.90875326699994,-41.67175106772422,59.90825088612019,27.629911280101393
2020-03-18,746.8004150390625,841.75,958.75,804.0,884.5,1052396,74.60671390223062,72.34892729901232,133.5177971141127,-26.440677966101696,60.25487995732778,63.05084745762712
2020-03-19,746.8004150390625,841.75,937.0,778.25,863.25,1025132,68.4822976666908,69.13683047656222,110.63410244997392,-26.440677966101696,51.6956784719132,48.0650835532102
2020-03-20,850.1593017578125,958.25,961.5,795.5,814.75,1158640,82.12957235349911,75.0728613074735,124.14877020689913,-0.7299270072992702,59.55452951345729,60.780201342281885
2020-03-23,921.13525390625,1038.25,1092.0,954.0,969.0,1153580,87.83124862444025,79.48103954821005,166.7975361636043,-9.335649153278332,66.74661682979696,40.77966101694914
2020-03-24,665.1781616210938,749.75,904.5,746.25,904.5,1503672,76.01491041784244,81.9919104652606,41.6550857664522,-61.88969258589511,63.30644319282192,19.864108713029573
2020-03-25,636.5702514648438,716.5,778.75,629.0,731.5,1685660,51.324620482692524,71.72359317499173,-13.866720714786448,-74.80079681274901,56.11660408179689,0.03490401396160081
2020-03-26,524.4041748046875,590.25,695.5,576.25,692.5,1939060,22.00800135249592,49.7825107510103,-65.75019600395422,-97.28550654386815,48.59246196131276,-36.17193836171938
2020-03-27,567.0494384765625,638.25,655.75,590.75,640.5,1548028,13.311674935417495,28.88143225686865,-60.202138744305756,-87.97867183713039,49.60951065187219,-5.128205128205132
2020-03-30,513.2986450195312,577.75,638.0,572.5,623.5,1297384,5.2488029073283755,13.522826398413933,-80.07516783751286,-98.98941289701635,49.15894280265289,-35.266106442577026
2020-03-31,535.7318725585938,603.0,612.5,565.75,583.5,1353168,6.703433354651014,8.421303732465631,-82.75767261229682,-92.92161520190024,44.22595388389146,-20.158887785501488
2020-04-01,606.585205078125,682.75,699.0,646.5,671.25,1801500,10.107250332823535,7.353162198267644,-40.68088404140646,-77.76722090261282,44.45166721385282,-18.889218889218885
2020-04-02,565.7168579101562,636.75,696.75,629.5,692.5,2044880,14.267616785431523,10.359433490968692,-59.40117363367972,-86.5083135391924,43.26975979981669,-24.35402435402435
2020-04-03,589.4826049804688,663.5,686.25,625.5,644.5,1644184,18.0997624703088,14.158209862854621,-59.700873317153196,-81.42517814726841,43.79542629386226,-30.759196451865378
2020-04-06,470.4311828613281,529.5,595.25,513.75,586.0,1787256,11.596747907366511,14.654709054368949,-119.22216061931464,-97.2762645914397,43.42760679659934,-49.000722369371545
2020-04-07,467.98797607421875,526.75,528.0,468.75,472.5,2387460,10.20153807359283,13.299349483756052,-129.52382329096667,-90.69394304051343,36.51082660420601,-29.743247749249747
2020-04-08,420.4561767578125,473.25,524.0,466.0,509.5,1939244,4.395979777634378,8.731421919531243,-124.13034096292382,-98.84185303514377,36.33712294645912,-33.94975575715282
2020-04-09,400.6882629394531,451.0,465.75,436.25,455.25,2403704,4.237845583117451,6.278454478114891,-129.95974698102364,-97.75066717499047,29.349996678734314,-23.591698432867425
2020-04-13,412.9044494628906,464.75,485.0,455.75,457.0,1789740,3.1646573494249197,3.93282757005892,-108.18698872866112,-93.91350774159103,27.696282694986657,-27.18370544457501
2020-04-14,375.3677062988281,422.5,442.5,418.5,437.0,1874416,3.1487217083520935,3.5170748802981584,-118.74056366381483,-98.88965995836224,28.46568179107079,-26.87148420597144
2020-04-15,399.7998352050781,450.0,460.0,440.5,450.75,1727820,6.142259608036973,4.151879555271332,-98.17376579392996,-88.77005347593582,34.85399137999275,-25.373134328358205
2020-04-16,393.5807800292969,443.0,459.5,438.75,443.25,1784284,7.024896472583953,5.438625929657676,-92.69199277387158,-91.26559714795009,35.892230330013355,-35.11534236543391
2020-04-17,361.3746643066406,406.75,427.5,404.25,413.25,1685544,6.937508598936538,6.701554893185825,-101.76279377115051,-99.1518235793045,29.349021262622315,-36.120926580290536
2020-04-20,380.4761962890625,428.25,430.0,408.75,425.0,1731128,5.908357637140763,6.623587569553755,-89.33081931054107,-91.85750636132316,34.937872168096575,-35.4559155990957
2020-04-21,416.0139465332031,468.25,472.25,445.0,451.75,2196844,10.234662143059099,7.6935094597121365,-60.802455975781314,-78.28668363019509,41.8993305844169,-11.567516525023603
2020-04-22,387.8058776855469,436.5,447.75,427.0,440.75,1765712,13.627150344707607,9.923390041635827,-71.97630136492737,-88.97435897435898,34.00997937170162,-17.133364973896537
2020-04-23,387.583740234375,436.25,438.25,414.0,430.0,2063396,14.695491708647475,12.852434732138065,-72.41973057834495,-88.65248226950355,35.22789196303847,-7.818277865821443
2020-04-24,371.5917663574219,418.25,439.25,415.0,429.25,1704520,9.901000562691559,12.741214205348884,-71.65569249817096,-92.67015706806284,27.42913518201077,-7.261640798226166
2020-04-27,354.9334411621094,399.5,411.0,394.75,409.0,1425800,7.4140295391351705,10.670173936824739,-85.47160779686301,-96.43527204502814,28.362418922295223,-14.03980634749865
2020-04-28,359.8198547363281,405.0,407.0,381.75,383.5,1862560,9.079678286263182,8.798236129363309,-84.45081139475347,-83.6555360281195,29.536765793090986,-4.142011834319526
2020-04-29,331.83392333984375,373.5,385.75,366.75,380.75,2179632,8.539145723327112,8.344284516241826,-101.17676358881765,-94.29175475687103,29.872107552842138,-17.000000000000004
2020-04-30,341.60675048828125,384.5,391.25,377.5,379.5,1999836,12.354426679844599,9.991083563144969,-94.56964362495883,-84.98942917547568,37.760696298826666,-13.20541760722348
2020-05-01,368.48223876953125,414.75,419.75,401.75,405.0,1863816,22.07214879980229,14.321907067658003,-59.08186726601044,-54.50236966824645,37.35729716743783,1.9668100799016486
2020-05-04,364.928466796875,410.75,430.5,409.5,424.75,1441684,34.07145409790622,22.832676525851042,-44.83791402396029,-58.29383886255925,43.69498496732373,-4.086398131932278
2020-05-05,354.9334411621094,399.5,401.75,386.5,397.75,1215740,39.415481832543456,31.853028243417327,-86.84270905033037,-68.95734597156398,37.444574057989236,-14.682327816337427
2020-05-06,361.8188781738281,407.25,408.25,390.0,392.25,1177936,37.04581358609796,36.844249838849215,-67.19732880183652,-61.61137440758294,43.36467963817307,-6.70103092783505
2020-05-07,348.9364318847656,392.75,395.25,384.0,392.75,1489276,31.358609794628762,35.939968404423404,-92.41308000516986,-75.35545023696683,43.862534297285066,-9.971346704871065
